subject1,subject2,subject3,grade
57,81,46,2
88,93,61,3
45,42,87,1
73,76,68,2
86,33,74,0
89,61,80,2
61,92,88,3
44,39,43,1
39,35,71,1
66,61,44,1
83,93,82,3
92,76,86,3
59,6,71,0
70,49,39,1
91,89,75,3
19,80,20,0
24,51,42,0
59,57,4,0
61,79,93,2
45,45,80,1
57,71,71,2
53,34,27,0
50,56,66,1
54,74,51,1
6,70,37,0
88,98,56,3
67,57,67,2
82,3,7,0
89,94,41,2
60,57,78,2
97,82,67,3
24,89,30,0
94,71,78,3
63,47,59,1
45,81,37,1
46,75,83,2
77,73,96,3
62,80,30,0
67,93,95,3
25,54,14,0
65,94,89,3
85,34,89,0
43,79,88,2
37,87,44,1
65,91,99,3
43,23,6,0
61,91,95,3
3,5,41,0
60,45,39,1
82,78,79,2
79,89,91,3
83,83,98,3
89,68,95,3
1,70,52,0
75,55,100,2
79,72,99,3
59,52,6,0
73,24,91,0
89,87,77,3
75,82,98,3
37,37,73,1
83,66,98,3
73,93,99,3
75,54,49,1
81,93,42,2
54,65,41,1
81,84,55,2
15,59,88,0
77,87,88,3
99,59,83,3
81,100,60,3
55,92,41,2
74,84,18,0
43,54,57,1
76,77,36,2
85,13,45,0
35,62,56,1
75,66,57,2
65,90,98,3
42,42,46,1
60,64,45,1
98,82,66,3
53,68,56,1
90,81,53,2
45,64,64,1
3,10,82,0
77,99,79,3
34,90,90,0
97,97,83,3
42,71,98,2
81,79,42,2
14,46,39,0
99,61,59,2
52,42,69,1
100,100,45,3
13,95,70,0
87,36,29,0
99,46,95,2
35,76,70,2
85,44,69,2
10,39,71,0
52,72,58,2
67,81,81,2
53,47,90,2
44,90,78,2
40,48,73,1
40,43,77,1
96,91,50,2
39,66,43,1
89,78,79,3
77,91,75,3
31,34,20,0
10,31,15,0
98,51,65,2
59,99,89,3
38,63,43,1
43,85,86,2
43,44,0,0
49,60,58,1
53,75,61,2
58,47,85,2
81,40,76,2
96,93,88,3
96,65,14,0
12,97,26,0
71,3,77,0
54,39,77,1
28,34,55,0
96,57,94,3
48,4,60,0
46,79,55,1
92,86,66,3
91,38,50,1
26,53,49,0
48,81,47,1
98,48,98,3
35,8,98,0
71,25,91,0
45,61,69,1
97,62,92,3
79,80,71,2
96,82,96,3
39,57,60,1
100,68,98,3
97,78,67,3
50,59,98,2
100,96,39,2
52,58,66,1
92,18,52,0
73,53,79,2
43,69,56,1
36,63,76,1
95,69,6,0
73,77,60,2
44,71,47,1
59,51,60,1
41,98,99,2
59,16,79,0
41,59,56,1
77,100,87,3
59,39,58,1
84,38,42,1
72,86,56,2
