attendance,study_hours,previous_score,pass
0.95,0.90,0.88,1
0.80,0.70,0.75,1
0.60,0.65,0.60,1
0.40,0.30,0.50,0
0.20,0.25,0.30,0
0.85,0.80,0.78,1
0.70,0.60,0.65,1
0.55,0.50,0.55,1
0.30,0.35,0.40,0
0.10,0.20,0.25,0
0.92,0.85,0.90,1
0.88,0.75,0.80,1
0.65,0.60,0.70,1
0.45,0.40,0.55,0
0.25,0.30,0.35,0
0.78,0.72,0.74,1
0.68,0.66,0.62,1
0.50,0.45,0.52,0
0.35,0.28,0.33,0
0.15,0.18,0.22,0
0.96,0.92,0.95,1
0.83,0.77,0.81,1
0.73,0.69,0.70,1
0.58,0.52,0.60,1
0.42,0.38,0.45,0
0.22,0.20,0.28,0
0.89,0.84,0.86,1
0.76,0.70,0.72,1
0.61,0.57,0.63,1
0.48,0.42,0.50,0
0.33,0.30,0.36,0
0.12,0.15,0.18,0
0.94,0.88,0.92,1
0.81,0.76,0.79,1
0.67,0.64,0.68,1
0.53,0.48,0.56,0
0.38,0.34,0.41,0
0.18,0.22,0.26,0
0.90,0.82,0.85,1
0.74,0.68,0.73,1
0.59,0.55,0.61,1
0.46,0.41,0.49,0
0.29,0.27,0.32,0
0.14,0.19,0.21,0
0.87,0.79,0.83,1
0.71,0.67,0.69,1
0.56,0.51,0.58,0
0.41,0.37,0.44,0
0.24,0.23,0.29,0
0.11,0.16,0.20,0
